"","S.Score","G2M.Score","Phase"
"A1.D041912.3_8_M.1.1",-0.528116295874728,-0.268533297222393,"G1"
"A1.MAA000409.3_10_M.1.1",-0.543752249066449,-0.244173020989324,"G1"
"A1.MAA000596.3_9_M.1.1",1.9069288981002,1.15864062492977,"S"
"A1.MAA000600.3_8_M.1.1",2.65698384946214,0.217777932996918,"S"
"A1.MAA000652.3_10_M.1.1",-0.329428484785688,-0.520086369210303,"G1"
"A1.MAA000848.3_10_M.1.1",-0.722646190483186,-0.783196531288978,"G1"
"A1.MAA001842.3_38_F.1.1",-0.191715512624753,-0.240127969748675,"G1"
"A1.MAA001883.3_39_F.1.1",1.97446091530117,2.77600284689146,"G2M"
"A1.MAA001884.3_38_F.1.1",-0.520959251617087,-0.439805805130684,"G1"
"A1.MAA001887.3_39_F.1.1",0.836587839309938,-0.795911012501675,"S"
"A1.MAA001888.3_39_F.1.1",-0.660737060584264,-0.446465930392624,"G1"
"A10.D042044.3_9_M.1.1",2.52415570093007,3.43675268866368,"G2M"
"A10.D042193.3_8_M.1.1",-0.497465257345369,-0.341668522158548,"G1"
"A10.D042479.3_8_M.1.1",3.25504281352405,1.35670615583553,"S"
"A10.D045140.3_38_F.1.1",-0.592130830301236,-0.707097370155037,"G1"
"A10.MAA000409.3_10_M.1.1",0.171343590369096,2.80091592965563,"G2M"
"A10.MAA000600.3_8_M.1.1",1.79064441524576,1.77876437429667,"S"
"A10.MAA000639.3_9_M.1.1",-0.699903408450659,0.150167216590842,"G2M"
"A10.MAA000652.3_10_M.1.1",-0.837330152298137,-0.567056344333565,"G1"
"A10.MAA000844.3_10_M.1.1",-0.403970842428156,-0.762872446330126,"G1"
"A10.MAA000848.3_10_M.1.1",-0.587794509494312,-0.720047757025827,"G1"
"A10.MAA001844.3_38_F.1.1",-0.877156067127135,-0.207842812393469,"G1"
"A10.MAA001883.3_39_F.1.1",-0.526286814211762,-0.437195988910644,"G1"
"A10.MAA001884.3_38_F.1.1",-0.126396297927297,-0.542092499379877,"G1"
"A10.MAA001887.3_39_F.1.1",1.65164659411872,1.26983716923799,"S"
"A11.D041912.3_8_M.1.1",-0.310709320482644,3.06872968244976,"G2M"
"A11.D042044.3_9_M.1.1",-1.0425138689743,-0.640432262903999,"G1"
"A11.D042193.3_8_M.1.1",-1.18033800889489,-1.1084354541514,"G1"
"A11.D042479.3_8_M.1.1",1.9556988538154,1.87141899349681,"S"
"A11.D045140.3_38_F.1.1",-0.633210847499575,-0.600442740611147,"G1"
"A11.MAA000409.3_10_M.1.1",1.66971117362603,0.268247249955647,"S"
"A11.MAA000596.3_9_M.1.1",2.02668715217033,-0.117714769325785,"S"
"A11.MAA000600.3_8_M.1.1",-0.279768567188006,-1.03618600440494,"G1"
"A11.MAA000639.3_9_M.1.1",-0.70410176446889,-0.491526750191098,"G1"
"A11.MAA000652.3_10_M.1.1",-0.776278212764514,-0.354378087551279,"G1"
"A11.MAA000844.3_10_M.1.1",1.36349246143613,2.18785239167554,"G2M"
"A11.MAA000848.3_10_M.1.1",0.738496885689012,-0.918958183412181,"S"
"A11.MAA001842.3_38_F.1.1",-0.407288922124458,-0.184044192341761,"G1"
"A11.MAA001844.3_38_F.1.1",-0.621779348838404,-0.367256794573435,"G1"
"A11.MAA001883.3_39_F.1.1",-0.0568736779165004,-0.64648557984888,"G1"
"A11.MAA001884.3_38_F.1.1",-0.247027103562636,-0.500102924898339,"G1"
"A12.D041912.3_8_M.1.1",-0.50678266275375,-0.457190779133986,"G1"
"A12.D042044.3_9_M.1.1",-0.385461165818184,-0.730014910039639,"G1"
"A12.D042193.3_8_M.1.1",-0.457330329516144,-0.802921311033143,"G1"
"A12.D045139.3_39_F.1.1",-0.719457055971628,-0.108588990150861,"G1"
"A12.D045140.3_38_F.1.1",-0.544136990400401,-0.264383399461153,"G1"
"A12.MAA000409.3_10_M.1.1",1.42518299413262,2.78258992366112,"G2M"
"A12.MAA000596.3_9_M.1.1",0.634360308275036,3.01150926846738,"G2M"
"A12.MAA000600.3_8_M.1.1",0.543412281344035,2.51851771797081,"G2M"
"A12.MAA000639.3_9_M.1.1",-0.253869190095743,-0.361502696116421,"G1"
"A12.MAA000652.3_10_M.1.1",-0.248627564263963,-0.617196762734993,"G1"
"A12.MAA000844.3_10_M.1.1",-0.774861157139779,-0.641117137126512,"G1"
"A12.MAA000848.3_10_M.1.1",-0.407603116758127,3.595755093157,"G2M"
"A12.MAA001844.3_38_F.1.1",-0.387855881358839,-0.175801388771534,"G1"
"A12.MAA001883.3_39_F.1.1",-0.526003914664772,-0.692641241158148,"G1"
"A12.MAA001884.3_38_F.1.1",-0.317188825266705,-0.41901505747188,"G1"
"A12.MAA001887.3_39_F.1.1",2.05922934399988,1.14055813197749,"S"
"A13.D041912.3_8_M.1.1",-0.78395772289993,-0.411797499220136,"G1"
"A13.D042193.3_8_M.1.1",-0.618757521604801,-0.812751608935629,"G1"
"A13.D042479.3_8_M.1.1",2.45365388352983,1.14418157239909,"S"
