"","lmd","wilcox_default","hotspot","marcopolo","semi","haystack"
"1110028F11Rik",730,80,1319,3127,9506,8918
"Cd3d",511,27,57,1125,2044,2357
"Cyp11a1",545,7,39,752,9294,9391
"Naaa",1354,64,295,447,2479,2646
"Rsph9",554,86,770,4254,1048,2698
"Cd19",22,585,70,402,30,109
"Egfl7",91,636,645,401,44,90
"Fam69b",79,569,655,551,45,143
"Ly6c2",70,556,393,112,238,1
"AW112010",991,1373,20,298,1170,261
"Alb",751,2008,33,836,9006,5690
"Bst2",1156,698,40,234,1239,217
"Ccnd1",599,325,72,1472,2727,670
"Cd55",1272,298,67,693,216,1139
"Cebpb",932,749,97,208,280,175
"Ctla4",1499,1383,91,2390,9247,9520
"Ctsl",4399,688,77,1236,3676,1996
"Fabp1",1432,14585,82,3413,10100,7842
"Folr4",760,433,12,2095,6690,6737
"Foxo1",903,732,89,1786,233,338
"Grina",2304,451,27,305,383,317
"H2-Ob",1098,417,87,600,202,431
"Ifi30",1138,849,62,561,2865,530
"Irf8",654,842,74,245,922,133
"Mup20",1559,14585,66,3982,10214,8494
"Mup3",881,4737,1,2975,9650,5653
"Pafah1b3",711,294,58,1256,306,126
"Pltp",884,302,60,702,1287,2683
"Rnase6",1340,880,88,923,2537,630
"Srgap3",773,410,78,5205,3623,1871
"Tifa",575,162,6,301,268,127
"Xrcc6",1145,693,68,1045,1037,145
"Angpt1",32,178,547,156,16,88
"Clec5a",85,282,651,1427,121,160
"Hlf",76,216,604,1500,59,283
"Kit",68,142,1362,1275,29,82
"Mapk13",74,264,603,1128,81,385
"Mmp25",78,273,568,363,104,821
"Mogat2",87,54,1088,1176,447,1764
"Mpl",57,197,588,635,56,361
"Muc13",67,297,561,651,31,201
"Myct1",80,255,700,625,82,389
"Pilrb1",98,351,627,2755,142,190
"Prtn3",45,419,844,55,72,35
"Rab38",36,291,641,454,23,111
"1600029O15Rik",3468,14585,12713,63,11638,12708
"1700019A02Rik",7820,14585,13223,97,12910,13154
"4930417O13Rik",2063,14585,11514,30,11172,10959
"4930519G04Rik",1338,14585,8236,14,7586,10062
"4930548H24Rik",3726,14585,10656,25,13569,12090
"4933412O06Rik",929,14585,6799,33,6874,10205
"4933432I03Rik",1428,14585,4958,61,8225,10487
"5730507C01Rik",9710,14585,9828,27,7672,7838
"6430562O15Rik",6039,14585,13555,79,12984,12185
"AI836003",2936,14585,13779,57,14120,13330
"Adamts12",4562,14585,11890,93,12622,13468
"Aldh3b2",4313,14585,5476,46,11209,10664
"Alpk2",4173,14585,5413,71,8963,11486
"Amelx",4611,14585,8681,36,11664,12116
"Apoa2",3572,6670,2615,50,10131,9205
"Apom",9773,14585,13430,20,12396,13049
"C1qbp",943,1581,549,22,184,154
"C8a",594,14585,1862,23,8625,9406
"Ccr6",1146,1058,2098,90,2555,6569
"Clmn",6990,14585,11103,67,10366,11166
"Col25a1",2438,14585,3258,87,9180,11464
"Col5a3",1060,990,899,68,3067,7100
"Col6a1",11291,14585,1860,3,10169,11915
"Csrp1",1779,2160,1214,76,427,319
"D7Ertd143e",563,14585,4083,94,7882,9740
"Dmrt3",1458,14585,1598,28,9075,11575
"Dnm3",4730,14585,7313,70,10693,13120
"Dtymk",1546,1683,1060,99,254,287
"Dut",651,1156,349,85,207,102
"Epb4.9",4528,14585,11699,39,10910,13227
"Exosc5",1933,2078,943,92,282,347
"Fbl",1256,1902,804,16,310,168
"Glrx3",1922,2969,1036,49,424,255
"Gm3696",3067,14585,11573,53,11302,10519
"Gpr64",1940,14585,8996,17,10345,11753
"Hcrtr2",2902,14585,5207,54,11272,12020
"Hs6st2",3923,14585,10528,5,10137,12070
"Idh2",560,1290,474,9,106,55
"Igj",1030,3820,894,4,10202,11151
"Kcnh7",1828,14585,12111,7,9618,11315
"Kcnip4",7697,14585,12573,77,13378,13214
"Lcat",7677,14585,14461,42,12340,13440
"Loxhd1",1219,14585,10580,10,10260,12194
"Loxl1",10901,14585,12272,73,10666,13554
"Lrrc34",5171,14585,14122,86,13682,14093
"Lsm2",1817,1852,1201,58,408,390
"Lyl1",1644,909,1307,64,245,418
"Mcpt8",535,588,433,40,7410,6452
"Mir1904",9131,14585,13060,82,12086,11193
"Mrpl51",5290,4198,2285,72,1511,1041
"Npas2",4811,14585,8421,13,10306,11158
"Npm3",1485,2102,1096,81,308,208
"Nudt21",4019,1807,1379,52,1121,613
"Nup62",1342,1420,684,66,279,244
"Osta",4374,14585,13033,32,13573,13507
"Phgdh",520,1250,428,6,89,69
"Reln",832,652,1204,65,2971,7051
"Retnlb",1208,14585,2371,83,5362,9248
"Rhag",2162,14585,11443,100,10463,11410
"Rsl1d1",1465,1955,868,41,211,219
"Sae1",2210,1460,873,29,497,359
"Snrnp40",3469,2284,1986,96,738,633
"Stfa2",796,14585,6857,59,8638,11029
"Tmem66",1043,1214,628,56,448,147
"Zf12",5080,14585,13128,1,11945,11367
"Abca13",37,104,283,1142,54,474
"Adam8",44,59,85,571,39,222
"Akap12",86,96,42,1515,68,226
