"kNN3" "kNN4" "kNN5" "kNN6" "kNN7" "kNN8" "kNN9" "kNN10" "kNN20" "kNN30" "kNN40" "kNN50"
"0610005C13Rik" 9.70008961730648 9.72087551667923 9.73528999646092 9.74597466012914 9.7540837862806 9.76470804788409 9.77201788219047 9.77845689573662 9.81821389806643 9.83752183657546 9.85059067216305 9.86121574079077
"0610007C21Rik" 9.35413648644418 9.38492017680318 9.40953353706606 9.42748130673632 9.44129905936938 9.45684084540166 9.46899979201886 9.48026452621373 9.55485405575907 9.59727633595473 9.62771237410568 9.65306583097199
"0610007L01Rik" 9.54870396556789 9.57289477711296 9.59093880892222 9.60516534826199 9.61662235561433 9.62871761319445 9.6383689421528 9.64695111474863 9.70966668721365 9.74861901758661 9.77635606245882 9.79786027663506
"0610007N19Rik" 9.72850800413999 9.74864831407627 9.76130705172056 9.77104894911698 9.77971735231474 9.78935841063622 9.79615205482678 9.80187575892244 9.84059577551215 9.8617604268047 9.87616826739905 9.88771121783482
"0610007P08Rik" 9.53219697498533 9.55571142766228 9.57382928484393 9.58755224019356 9.5979382999093 9.60910475685309 9.61741012585928 9.62550677486742 9.67895172547642 9.71039169492626 9.73373974098282 9.75288689946251
"0610007P14Rik" 9.12744357877509 9.1707638984681 9.20482688075951 9.23008666468281 9.24949625938544 9.27096928846782 9.2878410148455 9.30368200915505 9.40912927086728 9.47008930114936 9.51459597144825 9.55130436079249
"0610007P22Rik" 9.54087847772916 9.5657517997813 9.58460757214014 9.5994266726022 9.61006468157581 9.62124752999349 9.63016527411953 9.6384519066842 9.69579999954112 9.72893361958599 9.75352685496822 9.77356828716058
"0610009B22Rik" 9.13984205996726 9.18274695547632 9.21476944976929 9.23976897321413 9.25874970099196 9.27977085523055 9.29530075494466 9.30988740815792 9.40926496576851 9.46667599576464 9.50957056024813 9.54520231558122
"0610009L18Rik" 9.49819378677693 9.52719789239955 9.54638125053441 9.56169785184946 9.57296170697443 9.58493765127815 9.59467282085942 9.60389193436103 9.66352871058469 9.69788350704 9.72334036763448 9.74453919977826
"0610009O20Rik" 9.19465905075783 9.23679992989575 9.26730951343099 9.29129084713517 9.30923765167257 9.32832675657311 9.34275549041539 9.35627889671005 9.44942339042107 9.50434107420648 9.54494728132644 9.57872067866613
"0610010B08Rik" 9.55141699657021 9.57210087779802 9.58928782057635 9.60231569560007 9.61179650810591 9.62301988016112 9.6315025201252 9.63964250448026 9.68950050888632 9.71751259706662 9.7366883952927 9.75299406318341
"0610010F05Rik" 9.19189804308515 9.23405664710871 9.26579657851192 9.2922249979252 9.31255410840567 9.33461872916507 9.35090289952806 9.36601156346482 9.46895984694122 9.52962764617406 9.57367914131457 9.60952873172514
"0610010K14Rik" 9.16091103300174 9.20231072055807 9.23590957668811 9.26061665755107 9.27905689961019 9.29916417365841 9.31520500907603 9.32989466743098 9.43153510906073 9.49190276259689 9.53635246079326 9.57330191112542
"0610010O12Rik" 8.67648883840347 8.73054996414189 8.7762977506827 8.80958889850929 8.83572346694161 8.86365189490033 8.89056591974027 8.9156125028793 9.07833926215689 9.15728975069987 9.21030550022519 9.2530355435908
"0610011F06Rik" 9.22706585102546 9.26549333036329 9.29482331243981 9.3163076464422 9.33265997524251 9.35064400419121 9.36478915969548 9.3781798936521 9.46842261687498 9.51954957802963 9.55675359672261 9.5872307257523
"0610011L14Rik" 9.48771683153016 9.51318731329951 9.53350964476443 9.54897805962601 9.56064721319893 9.57291093469415 9.5827642443418 9.59205797561907 9.65344114079892 9.68922978806761 9.71534645245822 9.73638396386231
"0610012G03Rik" 9.25687986691624 9.29311558871354 9.3212642364295 9.34233965621951 9.35864739149338 9.37659953469361 9.39106393600359 9.40501610631998 9.49483489567017 9.54685229999494 9.58493475759288 9.61614546635986
"0610012H03Rik" 8.92784324880332 8.98564837304293 9.02647054034968 9.05861598043481 9.08254597061339 9.10998739177276 9.13032570837413 9.14994106576386 9.2763801783491 9.34741774967339 9.39879102717706 9.4413868734526
"0610030E20Rik" 9.74120418364832 9.75490016039685 9.76471068315324 9.77234753095695 9.7784965170598 9.78466429310145 9.78974120934628 9.79437626282239 9.82641437787949 9.84663680170782 9.86167181331348 9.87414987439158
"0610031J06Rik" 9.58894668286931 9.61117236592309 9.62780480191652 9.64029731698669 9.65018606758374 9.66100272754201 9.66948541972585 9.67719028688321 9.73047293295305 9.7619905233164 9.78511803772873 9.80395100138372
"0610037L13Rik" 9.41215188217691 9.44169095338121 9.46402544347416 9.48100831477528 9.49452219307279 9.50853362820749 9.51967424137705 9.53046404844734 9.60294292164003 9.64596594254886 9.67845447351132 9.70461586925741
"0610037P05Rik" 9.57715543664974 9.59946868977939 9.61567176553609 9.62813618145756 9.63785322806161 9.64792894085322 9.65572089946871 9.66309827869485 9.71322943047533 9.74282766991795 9.76520404080802 9.78392878444888
